SPEEDING_CRASH,SL,NL,P_TRUCK,AVG_AADT,SIGNAL_NUM,SIGNAL_PER_MILE,STOPPED_NUM,STOPPED_PER_MILE,MEDIAN_WIDTH,MEDIAN_TYPE,P_RESIDENTIAL,P_COMMERCIAL,P_INDUSTRIAL,P_AGRICULTURAL,P_INSTITUTIONAL,P_GOVERNMENTAL,LANDUSE_MIX,POP_DEN,PCT_POV,PCT_VEHICLE_0,PCT_OLD_YOUNG,PCT_MEANS_PEDBIC,DAILY_TRANSIT,PAVEMENT_CONDITION,ISLDTYPE,ISLDWIDTH,OSLDTYPE,OSLDWIDTH,SURF_TYPE,SURFACE_WIDTH,LANE_WIDTH,POLES_PER_MILE,P_SINGLE_SIDEWALK_ONLY,P_BOTH_SIDEWALK_ONLY,SIDEWALK_WIDTH,P_SINGLE_BIKELANE_ONLY,P_BOTH_BIKELANE_ONLY,P_SINGLE_BIKESLOT_ONLY,P_BOTH_BIKESLOT_ONLY,P_SINGLE_SHAREDPATH_ONLY,P_BOTH_SHAREDPATH_ONLY,SHAREDPATH_WIDTH,SHAREDPATH_DISTFMRD,FRQ_AM78,NARROW_LANE,ASPHALT_SURFACE,PRESENCE_OF_MEDIAN_ISL_AT_CROSS,HIGH_FREQ_TRANSIT
2,45,6,6.627900071,44246.87335,4,3.387247015,5,4.234058769,10.57227538,1,0.398579417,0.230077554,0.104149793,0.049627846,0.031072934,0.162337081,0.76455068,4.61E-05,0.201176442,0.068270454,0.377832306,0.100741739,13.74866627,5,1,4,0,2,0,33,11,26.59249657,0.353120501,0.589296299,5.561643078,0,0,0.019391989,0,0,0,0,0,1.964095182,1,1,0,0
2,45,6,6.627900071,44246.87335,4,3.387247015,5,4.234058769,10.57227538,1,0.398579417,0.230077554,0.104149793,0.049627846,0.031072934,0.162337081,0.76455068,4.61E-05,0.201176442,0.068270454,0.377832306,0.100741739,13.74866627,5,1,4,0,2,0,33,11,26.59249657,0.353120501,0.589296299,5.561643078,0,0,0.019391989,0,0,0,0,0,1.964095182,1,1,0,0
2,45,4,6.988399146,25383.35578,2,2.049226519,10,10.2461326,16,1,0.64121147,0.141886272,0.036352458,0.004094716,0.007520625,0.138508279,0.544966632,9.54E-06,0.064301541,0.051241473,0.501257454,0.006581632,16,5,0,2,0,2,0,23,11.5,45.07076351,0,1,5.025712157,0,0,0,0,0,0,0,0,2,1,1,0,0
1,45,4,10.98205845,29097.44259,2,4.183225267,0,0,21.97866555,0,0.683729194,0.097095892,0.050089412,0.026379293,0.008280195,0.088304134,0.545246687,1.18E-06,0.153935841,0.012529927,0.411073885,0,0,3,0,2.010667224,0,2.042459736,0,25.9033675,12.95168375,33.47094344,0.021125288,0.89730182,4.655454441,0,0,0,0,0,0,0,0,0,0,1,0,0
1,45,4,10.98205845,29097.44259,2,4.183225267,0,0,21.97866555,0,0.683729194,0.097095892,0.050089412,0.026379293,0.008280195,0.088304134,0.545246687,1.18E-06,0.153935841,0.012529927,0.411073885,0,0,3,0,2.010667224,0,2.042459736,0,25.9033675,12.95168375,33.47094344,0.021125288,0.89730182,4.655454441,0,0,0,0,0,0,0,0,0,0,1,0,0
0,50,6,4.573726148,35428.35018,1,1.789571451,2,3.579142903,18.72014861,1,0.536710139,0.109035259,0.037421253,0,0.144032062,0.161268781,0,0.000105171,0.30232949,0.088086508,0.327831888,0.092459479,0.613305822,3,0,2,0,3,0,36,12,14.37713528,1,0,7.943845037,0,0,0,0,1,0,8,82.68793632,0.090860122,0,1,0,0
0,50,6,4.573726148,35428.35018,1,1.789571451,2,3.579142903,18.72014861,1,0.536710139,0.109035259,0.037421253,0,0.144032062,0.161268781,0,0.000105171,0.30232949,0.088086508,0.327831888,0.092459479,0.613305822,3,0,2,0,3,0,36,12,14.37713528,1,0,7.943845037,0,0,0,0,1,0,8,82.68793632,0.090860122,0,1,0,0
0,50,6,4.573726148,35428.35018,1,1.789571451,2,3.579142903,18.72014861,1,0.536710139,0.109035259,0.037421253,0,0.144032062,0.161268781,0,0.000105171,0.30232949,0.088086508,0.327831888,0.092459479,0.613305822,3,0,2,0,3,0,36,12,14.37713528,1,0,7.943845037,0,0,0,0,1,0,8,82.68793632,0.090860122,0,1,0,0
0,40,4,7.288368336,19647.83333,0,0,2,18.9672341,17.68808384,0,0.627232198,0.151505506,0.147576988,0,0,0.008735429,0,1.82E-05,0.322711864,0.048695652,0.529824561,0.178970917,25,3,0,2,0,2,1,24,12,40.97065539,0,1,5,0,0.061121912,0,0,0,0,0,0,4,0,0,0,1
0,40,4,7.288368336,19647.83333,0,0,2,18.9672341,17.68808384,0,0.627232198,0.151505506,0.147576988,0,0,0.008735429,0,1.82E-05,0.322711864,0.048695652,0.529824561,0.178970917,25,3,0,2,0,2,1,24,12,40.97065539,0,1,5,0,0.061121912,0,0,0,0,0,0,4,0,0,0,1
0,40,6,6.38951049,26208.33333,1,6.326511245,2,12.65302249,16,1,0.446560715,0.248565777,0.017763337,0,0.056207628,0.220738124,0,0.000102049,0.134275618,0.052060738,0.398409894,0.017013233,0,5,0,2,0,2,0,36,12,18.28332087,0,1,5.601018568,0,0,0,0,0,0,0,0,0,0,1,0,0
0,40,6,6.38951049,26208.33333,1,6.326511245,2,12.65302249,16,1,0.446560715,0.248565777,0.017763337,0,0.056207628,0.220738124,0,0.000102049,0.134275618,0.052060738,0.398409894,0.017013233,0,5,0,2,0,2,0,36,12,18.28332087,0,1,5.601018568,0,0,0,0,0,0,0,0,0,0,1,0,0
1,50,4,13.42444444,45166.66667,0,0,1,2.35349494,46,0,0.415786751,0,0,0.007224001,0.007933696,0.008669072,0,0,0,0,0,0,0,5,1,4,0,2,0,24,12,14.00734792,1,0,5,0,0.004236291,0.004236291,0,0.974582255,0,12,115.36851,0,0,1,0,0
1,50,4,13.42444444,45166.66667,0,0,1,2.35349494,46,0,0.415786751,0,0,0.007224001,0.007933696,0.008669072,0,0,0,0,0,0,0,5,1,4,0,2,0,24,12,14.00734792,1,0,5,0,0.004236291,0.004236291,0,0.974582255,0,12,115.36851,0,0,1,0,0
1,40,6,7.066853933,59500,2,2.17509516,11,11.96302338,15,0,0,0,0,0,0,0,0,2.32E-05,0.182745165,0.091705431,0.37613757,0,72,4,0,2,0,2,0,32,10.66666667,256,0,1,6.663132137,0,0,0,0,0,0,0,0,8,1,1,1,1
1,40,6,7.066853933,59500,2,2.17509516,11,11.96302338,15,0,0,0,0,0,0,0,0,2.32E-05,0.182745165,0.091705431,0.37613757,0,72,4,0,2,0,2,0,32,10.66666667,256,0,1,6.663132137,0,0,0,0,0,0,0,0,8,1,1,1,1
1,45,4,4.54853221,21135.70631,1,1.038279281,4,4.153117122,16,0,0.756688683,0.125379061,0.007731485,0,0.023963684,0.065863209,0,0,0,0,0,0,0,3,0,2,0,2,0,24,12,36.21532028,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0
1,45,4,4.54853221,21135.70631,1,1.038279281,4,4.153117122,16,0,0.756688683,0.125379061,0.007731485,0,0.023963684,0.065863209,0,0,0,0,0,0,0,3,0,2,0,2,0,24,12,36.21532028,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0
1,45,6,2.467376954,61634,2,4.597701149,1,2.298850575,16,1,0.583041737,0.189552873,0.059491629,0,0.026310333,0.116317626,0,5.14E-05,0.070631497,0.015700445,0.420008074,0.02218458,36,4,0,2,0,2,0,37,12.33333333,68.67719706,0,1,5,0,0,0,0,0,0,0,0,5,0,1,0,1
1,45,6,2.467376954,61634,2,4.597701149,1,2.298850575,16,1,0.583041737,0.189552873,0.059491629,0,0.026310333,0.116317626,0,5.14E-05,0.070631497,0.015700445,0.420008074,0.02218458,36,4,0,2,0,2,0,37,12.33333333,68.67719706,0,1,5,0,0,0,0,0,0,0,0,5,0,1,0,1
1,45,6,2.467376954,61634,2,4.597701149,1,2.298850575,16,1,0.583041737,0.189552873,0.059491629,0,0.026310333,0.116317626,0,5.14E-05,0.070631497,0.015700445,0.420008074,0.02218458,36,4,0,2,0,2,0,37,12.33333333,68.67719706,0,1,5,0,0,0,0,0,0,0,0,5,0,1,0,1
2,35,4,9.376388825,29344.19715,2,2.949852507,4,5.899705015,16.32153392,0,0.930322335,0.034487133,0,0,0.003565098,0.027331541,0,0,0,0,0,0,6,3.159292035,0,2,0,3.084070796,0,24,12,0,0,1,5.09660767,0,0,0,0,0,0,0,0,1,0,1,0,0
2,35,4,9.376388825,29344.19715,2,2.949852507,4,5.899705015,16.32153392,0,0.930322335,0.034487133,0,0,0.003565098,0.027331541,0,0,0,0,0,0,6,3.159292035,0,2,0,3.084070796,0,24,12,0,0,1,5.09660767,0,0,0,0,0,0,0,0,1,0,1,0,0
0,45,4,5.416770186,26583.33333,1,1.658699381,4,6.634797523,18,0,0.960781943,0.023740013,0.004360939,0,0.001176045,0.007606446,0,5.46E-05,0.080735412,0.058064516,0.389288569,0.04519774,25,3.00975647,0,2,0,2,1,24,12,25.76859302,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,1
0,45,4,5.416770186,26583.33333,1,1.658699381,4,6.634797523,18,0,0.960781943,0.023740013,0.004360939,0,0.001176045,0.007606446,0,5.46E-05,0.080735412,0.058064516,0.389288569,0.04519774,25,3.00975647,0,2,0,2,1,24,12,25.76859302,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,1
3,45,4,10.34441151,30328.69481,1,1.095662273,3,3.286986819,36,0,0.190675062,0.188669778,0.325483351,0.112212163,0.013828876,0.098752687,0.832164729,0,0,0,0,0,7.170090611,5,0,2,0,2,0,24,12,81.08230251,0,1,5.021798201,0,0,0,0,0,0,0,0,1.103090863,0,1,0,0
3,45,4,10.34441151,30328.69481,1,1.095662273,3,3.286986819,36,0,0.190675062,0.188669778,0.325483351,0.112212163,0.013828876,0.098752687,0.832164729,0,0,0,0,0,7.170090611,5,0,2,0,2,0,24,12,81.08230251,0,1,5.021798201,0,0,0,0,0,0,0,0,1.103090863,0,1,0,0
2,45,6,7.655938697,44000,2,4.282260948,2,4.282260948,18.90695503,1,0,0,0,0,0,0,0,4.87E-06,0.467213115,0.344023324,0.54161782,0,40,5,1,8.125,0,2,0,33,11,91.6028249,0,1,5.08547714,0,0,0,0,0,0,0,0,4,1,1,0,1
2,45,6,7.655938697,44000,2,4.282260948,2,4.282260948,18.90695503,1,0,0,0,0,0,0,0,4.87E-06,0.467213115,0.344023324,0.54161782,0,40,5,1,8.125,0,2,0,33,11,91.6028249,0,1,5.08547714,0,0,0,0,0,0,0,0,4,1,1,0,1
1,45,6,4.536871508,30000,2,2.547770701,2,2.547770701,16,1,0.753085642,0.09788687,0.043739485,0,0.025337944,0.057395061,0,0.000138123,0.262591023,0.072804057,0.378873081,0.025321775,15,3,0,2,0,2,0,36,12,0,0,1,5.01910828,0,0,0,0,0,0,0,0,2,0,1,0,0
1,45,6,4.536871508,30000,2,2.547770701,2,2.547770701,16,1,0.753085642,0.09788687,0.043739485,0,0.025337944,0.057395061,0,0.000138123,0.262591023,0.072804057,0.378873081,0.025321775,15,3,0,2,0,2,0,36,12,0,0,1,5.01910828,0,0,0,0,0,0,0,0,2,0,1,0,0
0,45,4,5.101886792,24266.67925,0,0,7,6.645420309,52,0,0.623677311,0.082568228,0,0.011607532,0.041047156,0.165683274,0,0.00013519,0.282139537,0.098986582,0.407754752,0.039098913,26,3,0,2,0,2,0,26,13,0,0,1.000000949,5,0,0,0,0,0,0,0,0,4,0,1,1,1
0,45,4,6.812334733,32279.23625,2,1.864939236,11,10.2571658,30.34501376,0,0.625790617,0.149305747,0.010405882,0.044480286,0.028784695,0.080010934,0.599097142,8.84E-06,0.032042724,0.015444015,0.386515354,0.018302829,12,4.046623481,0,2,0,2.069002752,0,24,12,0,0.078327448,0.921672552,4.938374703,0.076462509,0,0,0,0,0,0,0,2,0,1,0,0
